,Federal Fiscal Year,School Quarter (Q1-Q4),Direct Loans - Dollars Outstanding (in billions),Direct Loans -Recipients (in millions),Federal Family Education Loans - Dollars Outstanding (in billions),Federal Family Education Loans - Recipients (in millions),Parkins Loans - Dollars Outstanding (in billions),Parkins Loans Recipients (in millions),Total - Dollars Outstanding (in billions),Total Unduplicated Recipients (in millions)
5,2007,Q1-Q4,106.8,7,401.9,22.6,8.2,2.8,516,28.3
6,2008,Q1-Q4,122.5,7.7,446.5,23.7,8.5,2.9,577,29.9
7,2009,Q1-Q4,154.9,9.2,493.3,25,8.7,3,657,32.1
8,2010,Q1-Q4,224.5,14.4,516.7,25.1,8.4,2.9,749.8,34.3
9,2011,Q1-Q4,350.1,19.4,489.8,23.8,8.3,2.9,848.2,36.5
10,2012,Q1-Q4,488.3,22.8,451.7,22.4,8.2,2.9,948.2,38.3
11,2013,Q1,508.7,23.4,444.9,22.1,8.2,3,961.9,38.7
12,2013,Q2,553,24.1,437,21.6,8.3,3,998.6,38.9
13,2013,Q3,569.2,24.3,429.5,21.2,8.2,2.9,1006.8,38.7
14,2013,Q4,609.1,25.6,423,20.9,8.1,2.9,1040.2,39.6
15,2014,Q1,626.5,26.2,417.1,20.6,8.2,3,1051.8,40
16,2014,Q2,669,26.5,409.7,20.2,8.3,3,1087,40
17,2014,Q3,685.7,26.7,402.5,19.8,8.2,2.9,1096.5,39.9
18,2014,Q4,726.6,27.9,395,19.4,8.2,2.9,1129.8,40.7
19,2015,Q1,744.3,28.5,387.6,19.1,8.2,3,1140.1,41.1
20,2015,Q2,787,28.7,379.1,18.6,8.3,2.9,1174.4,41
21,2015,Q3,803.1,28.8,370.9,18.2,8.2,2.9,1182.1,40.8
22,2015,Q4,840.7,29.9,363.6,17.9,8.1,2.8,1212.4,41.6
23,2016,Q1,854.8,30.3,357.3,17.5,8.1,2.9,1220.3,41.8
24,2016,Q2,896.6,30.5,350.2,17.2,8.2,2.8,1254.9,41.7
25,2016,Q3,911.6,30.5,342.6,16.8,8,2.7,1262.2,41.5
26,2016,Q4,949.1,31.5,335.2,16.4,7.9,2.7,1292.2,42.3
27,2017,Q1,963.5,31.9,328.3,16.1,7.9,2.7,1299.7,42.4
28,2017,Q2,1003.3,32.1,320.5,15.7,7.9,2.6,1331.7,42.3
29,2017,Q3,1017,32,312.6,15.2,7.8,2.6,1337.4,42
30,2017,Q4,1053.5,33,305.8,14.9,7.6,2.5,1366.9,42.6
31,2018,Q1,1066.8,33.3,301.1,14.5,7.6,2.5,1375.5,42.8
32,2018,Q2,1104,33.4,295.5,14.2,7.6,2.5,1407.1,42.6
33,2018,Q3,1116,33.3,288.6,13.8,7.4,2.4,1412,42.2
34,2018,Q4,1150.3,34.2,281.8,13.5,7.1,2.3,1439.2,42.9
35,2019,Q1,1163.3,34.5,277,13.1,6.9,2.2,1447.1,43
36,2019,Q2,1198.4,34.5,271.6,12.8,6.6,2.2,1476.6,42.8
37,2019,Q3,1208.8,34.3,266,12.4,6.3,2.1,1481.1,42.2
38,2019,Q4,1242.6,35.1,261.6,12.1,6.1,2,1510.3,42.9
39,2020,Q1,1251.9,35.3,257.2,11.8,5.9,1.9,1515,42.8
40,2020,Q2,1284.7,35.3,252.4,11.5,5.6,1.9,1542.7,42.6
41,2020,Q3,1290.6,35.2,248.7,11.2,5.38,1.8,1544.8,42.3
42,2020,Q4,1315.2,35.9,245.9,11,5.2,1.7,1566.3,42.9
43,2021,Q1,1318.1,36.1,242.1,10.8,4.9,1.7,1565.2,42.9
44,2021,Q2,1348.3,36.3,238.8,10.6,4.7,1.6,1591.8,42.9
